audio_file|text
D:\pro\koice\dataset\wavs\audio0000033.wav|مجید افسرن ہدایت جو لوگوں کا راحت و آتام نباپت گرسن فوری قدم تلنیین کولگامیک ڈیپٹر کمیشٹرن چھوڑن موجود جلد انتظامیہ چھوڑن کنتی صورتحال سے مقابل کر نباپت تیار
D:\pro\koice\dataset\wavs\audio0000034.wav|دیپٹی کمیشٹران چھ لوگوں نے اپیل کرمزے تم گسن ویشو نالنش دور روزن
D:\pro\koice\dataset\wavs\audio0000035.wav|علاقوں کو گسن فیرن تھوڑے سرینگر شہر تا آتھ اند پر علاقوں میں پیواز صبح اچھن رود یمکن سڑکن تا گلی کوچن میں
D:\pro\koice\dataset\wavs\audio0000036.wav|آب جمع ثبت یمکن عام لوگوں ہوں فیرن تھورن سیٹا مشکل بنیو واریہن جائیں ساو آب دکانن تا مکانن
D:\pro\koice\dataset\wavs\audio0000037.wav|شہرکن بنیمن علاقن مسجد واریہ سڑک آبستل ہیں نام سے ممکن پکن ٹکن سٹھی دشوار گومت چھو گاندربل جل کے صفحہ پور علاقن مسجد
D:\pro\koice\dataset\wavs\audio0000038.wav|پیواز بار رود یمکن مکمی ندی نالن مز یو پاو یم سید واریہ رہشی علاقہ متحصر سبج لوکن مز چھوٹ تشویش فوریوں
D:\pro\koice\dataset\wavs\audio0000039.wav|انتظامی طرف سے بچاؤتا راحت کری ٹیم قائم لاغنا آمد وطلباک پانپرکس کروا علاقہ سمجھتی پہی نہ بترات یمکن رہشی علاقہ یوپا
D:\pro\koice\dataset\wavs\audio0000040.wav|اور یہاں مکان منصاف آپ کی لوگوں کو مشکل ویتر پیوان چھو اونچ پور ایک ایڈی سی گئی متحصر علاقہ سمجھتے ہی چک سہل بھی صورت حال سام
D:\pro\koice\dataset\wavs\audio0000041.wav|اے دورانچہ طلب آگ تو سومب اور علاقہ منسطی یو پاہمو تو واریان مکانن تو دکانن چو آب چاہیے
D:\pro\koice\dataset\wavs\audio0000042.wav|اسمبلی منز مخالف در ایک لیڈر سنیل شرما گیاز راجوریت پرونس زلکن تیمن علاقن منز یہ من سہلا بنس
D:\pro\koice\dataset\wavs\audio0000043.wav|سٹھ کرمز چھے پاٹی ہیں دیس ایک اسٹیمس سویت سمجھ کے متاثر آئیلنٹ جتک تمہیں یقین سے تمہیں امداد کرنے باپتی پرت کا کوشش کرنے
D:\pro\koice\dataset\wavs\audio0000044.wav|دوران کرتے مو لوگوں سے تک ادبات جلے انتظامیات جتک ہدایت جو متاثر لوگوں سے باز آباد کری خطر گسن فوری اقدام کرنے گی
D:\pro\koice\dataset\wavs\audio0000045.wav|ایجنسین آوریلیت ملے کام کرنکت ہدایت دینا سری نگریک منسپل کمیشٹرن کو راز شہر کے مختلف علاقوں ہن دورت حصک سڑکن تگلی کوچن میں
D:\pro\koice\dataset\wavs\audio0000046.wav|جمع سپد مطاب قدن کے اقدام انسان کہ مکر جی ایم سی سری نگر عیدگاہ خانیار ہری سنگھ ہائی سی ٹیٹ تو دوئی میں علاقہ مزہ
D:\pro\koice\dataset\wavs\audio0000047.wav|آپ کرنے چاہیے میں مہینہ جمہو کشمیر عوامی اتحاد پارٹی چھوپ روست راجوری مزید یوپین سید انسینی زوزائی گست پیٹ افسوس بومن
D:\pro\koice\dataset\wavs\audio0000048.wav|پارٹی شو متحصر ایال دوبارہ بساونک سرکار اس مطالب کرمو جمعیتی ہمدانی ہن تشو راجوریت پرونچ علاقن مند انسینی زوزائی سبدنس
D:\pro\koice\dataset\wavs\audio0000049.wav|پیٹ ابسوس بوم اسمبلی ہن سپیکر عبدالرحیم راتر گیاز دریگام شیخ العالم سن اس آستان اس پیٹ یہ تمہ جہری ترکیتی کا منسام ہے
D:\pro\koice\dataset\wavs\audio0000050.wav|تیموونزی اتعاستان اس میں مختلف کائمیں بامل ان خطر چا اکشی تلاش روپی منظور کا نام چا یلزن عید کا خطر اکست تلاش روپی منظور کا نام چا
D:\pro\koice\dataset\wavs\audio0000051.wav|آتموکس پیٹکور سپی کرن دریگام شمنہ اکدل تیمیر کرن خطر ناہوں کرو رپیہ فراہم کرن اکتے اعلان
D:\pro\koice\dataset\wavs\audio0000052.wav|مرکزی نیم پولیس فورسن لکھنپور پر امرنات گفائی تام کے پڑاون پر یاترہ بیس کیمپنٹ
D:\pro\koice\dataset\wavs\audio0000053.wav|ٹرانزٹ کیمپرمنٹ سہولت سے اندر بہترین تو یہ اندر جو بڑا خطر پیش کریمات آس ہے چیپ سیکٹرین ہے سامرنات شرائن بورڈ کے چیپ ایگزیکٹیو افسر سن طرف
D:\pro\koice\dataset\wavs\audio0000054.wav|نام تین مشہداتن تو سفرش انتصام یہ من سفرشن مزچہ امرنات یاترین ہنز حفاظت آرام تو کل ہم تجرب اس منظورے
D:\pro\koice\dataset\wavs\audio0000055.wav|جمہو کشمیر پولسنچو امرنات یاترین طبی سوہلز فراہم تھاونے خطر پہلگام ایک پولیس امرجنسیہ ہسپتال کا امکرم
D:\pro\koice\dataset\wavs\audio0000056.wav|ہسپتال سمجھ آسان یاد ترین دو رات مفت طبی سوہلز آئی تن روزان آئی تیہینا ڈاکٹرو چو منموزے آئی تیہی ونیستام کافی تیادات سمجھ یاد ترین دو رات مفت طبی سوہلز آئی تن روزان
D:\pro\koice\dataset\wavs\audio0000057.wav|تیبی خدمت فراہم کرنا کانسرنڈ سٹیزن گروپنچو جنگل چٹنک انواکن ایبی زخیرن تا قدرتی وسیلن لرپار کرنس پر تشبہ کرنے
D:\pro\koice\dataset\wavs\audio0000058.wav|اکیس بیان اسموں چھ گروپن ون موزے امی لورپار سی چھ نبت رت وساں تا تبہی فولاں یمی چھ مثال راجوری ت پرونچ علاقن من نظر
D:\pro\koice\dataset\wavs\audio0000059.wav|گزانچے یہ پجمان دون دون دوران اچھن رود پین پین کی طبعی گمز گروپنچ سرکار اس اپیل کرمز موحولیات رسراونا خطر گزن کار کر
D:\pro\koice\dataset\wavs\audio0000060.wav|قدم تلنیے نہیں کشیرینج زاری یونیورسٹی مذاہو اس کی سمارٹ کنزرویشن موضوع اس پر ایک ہفتو کپیسٹی بلڈنگ پروگرام شروع کرنا
D:\pro\koice\dataset\wavs\audio0000061.wav|آتھ پروگرام اسمانچ ملک چودہ و ریاست و پیڈ آمد زری مہر شرکت کران اچھے تقریب پیڈ ہوئے زری یونیورسٹی ہن وائس چونسٹر پروفیسر نظیر احمد گنائی
D:\pro\koice\dataset\wavs\audio0000062.wav|تو خورا خور ازداد محکم کمیشنر سیکریٹری سورہ بغت خاص پچھن منصفے میں کوفور جلکس کرنا علاقہ سمجھتے واسع ضرور دشیع
D:\pro\koice\dataset\wavs\audio0000063.wav|کین سڑکی پیٹ میں چلمت کن پل وسیط آئے سڑک باندھ پست کین گئی واریہ گاڑے درماں دے فوجن تو مقیمی لوکو کر آتھ سڑکی پیٹ مل بہتاو نچکار ہوئی تو سڑک
D:\pro\koice\dataset\wavs\audio0000064.wav|یہ نزگست اس کے بیل بناونا نمبل بل پاپ راو حضرت خاجہ مسعود ولی رحمت اللہ علیہ انہوں نے ورس مناونا آت موکس پر آئی تبرکات انہوں نے نشاندی کرنا
D:\pro\koice\dataset\wavs\audio0000065.wav|ملاروٹ سری نگراو حضرت میر میرک اندرابی رحمت اللہ علیہ وآلہ وآلہ وآلہ
D:\pro\koice\dataset\wavs\audio0000066.wav|خانقاس سبزہ تقریب یا تمام قیفی تعداد اس تمام عقیدت مند و شرکت کر کینسو علمو کر ولی کامل سندھن کمالاتن ہن ذکر تے
D:\pro\koice\dataset\wavs\audio0000067.wav|ہنڈ اک سرکرد ٹیلی ویژن اداکار سجاد خان چھ فوت سبد میں تین ڈیس فوت سبدن سپیچو ساغر کلچر اور فورم چکر پٹن تو دوئی میں او ادبیت سقا
D:\pro\koice\dataset\wavs\audio0000068.wav|پھٹی تنظیم ہو دکھتے تیزیت بومو سپین انچو ارجنٹائنا ہارنویت فیفا فٹبال ورلڈ کپ زیسا شیط وزیون موت نیو جرسی نیویار کس مند گنہام تیس
D:\pro\koice\dataset\wavs\audio0000069.wav|فائنل میچس منز ہارنو سپینن اگ گول کریت ارجنٹینہ امی برہو سپینن زساز دہس منز گوڈنیج لیٹے فیفا عالمی کپ فوڈیو
D:\pro\koice\dataset\wavs\audio0000070.wav|بال جنم فرانسی ایمبا پین کر درست ٹورنیمنٹ اسمنٹ سہلی مو خود زیادہ دہ گول تو کرن گولڈ بوٹ ایوارڈ ہرچل جیلزن سپینیک راڈین گولڈ بال
D:\pro\koice\dataset\wavs\audio0000071.wav|ایوارڈ حاصل کر گئی کر اشارہ خبر آنڈ وات ناؤ نک آوکین ایسین اجازت آدھا آدھا ناظرین وین خبر تفصیل سان لیفٹرنڈ گورنمنو سینانچ ون مجھے سرکار
D:\pro\koice\dataset\wavs\audio0000072.wav|جمہو کشمیر اس پن منشیات کس کار بار اس ٹھاک لاغنے تاتھ مکمل پر اڈنیال گالنے کس واد اس پہ ٹکائیم آخہ دوہنہ نشہ مکت جمہو کشمیر مہم اندوات
D:\pro\koice\dataset\wavs\audio0000073.wav|کے سلسلس میں سوشل ویلفیر محکمہ طرف سری نگرے کی اس تقریب بولا نبون لیفٹرنٹ گورنر زمنشیت اس خلاف یہ مہم چہ واریہ صدستان کامیاب سبز
D:\pro\koice\dataset\wavs\audio0000074.wav|تاہم جمہو کشمیر مکمل پر نشہ مکت کرنے خطر روز بھروکن تکام جاری تیمہ ونز منشیات و گھر کونونی زال سٹن خطر روزن سرکار کوشی جاری
D:\pro\koice\dataset\wavs\audio0000075.wav|تمہاں ونجے آتھ مہمے دوران آئے جمع کشمیر کے ان وہاں زلن میں پاد یاترہ کرنے یمن میں تمہاں پان شرکت کر یہ دوران تمہاں تمہاں مالین ماجن
D:\pro\koice\dataset\wavs\audio0000076.wav|سیٹ کے قدبات کر یہ جن شرین نشکر نک آدت لاریوں مت چھو تیمہ بھونزے پاد یاترہ کرنن جو تیپاگم زنو پوئی یین خرابی کن لاغن
D:\pro\koice\dataset\wavs\audio0000077.wav|بلکہ ان نوجوان ذمہ دار تسنجید شہری بناونا لیفٹرنڈ گورنر نمونزی آتھ موہمی دوران آئی زیس آس پانچ ستاکشی ڈرگ سمگلر گریپتار کانا تسہتی آتھ
D:\pro\koice\dataset\wavs\audio0000078.wav|آخ ساتھ سو رہتا اکتر کلو گرام منشیات ضبط کرنے تیمہ ونز منشیات کس کار بار اس پر استعمال کارنگین واجنین درجن واد گاڑین آئے
D:\pro\koice\dataset\wavs\audio0000079.wav|ریجسٹریشن کینسل کرنا تو ڈریورن ہزل لاسل آئی منسو کرنا تیمہ بون جاک سکیم تیار ترتیب دینا یہ تحتیم نوجوان دوبارہ بساونی
D:\pro\koice\dataset\wavs\audio0000080.wav|یہ منشط رہویت رجرس کن ین تیمہ ونزی جمع کشمی نشم اکتابیان چلاونس مندید لکو برپور اتھواز یستریفن لائق چو
D:\pro\koice\dataset\wavs\audio0000081.wav|پارلمنٹ کے اندوشفین آئیوانن مزدول از مخلیب درکیوں ممبر و دوبار شور شر تیمہ اس آئیوان چکار وی دوران نیٹ امتحانی پرچو اپشا گستنس تو دوئی میں نموکرانی
D:\pro\koice\dataset\wavs\audio0000082.wav|مواملن پر احتجاج کریں لوگ سبائی ہنز کاروئی آئی شور شرکین ملتوی کریں پرزیڈنگ آفسرین یدوائی مخلیب میمبرن سیٹن پر قرار سان روزنج اپیل کر تاہمائی مخلیب
D:\pro\koice\dataset\wavs\audio0000083.wav|ایک ممبر آتن کے پلے کارڈ تلت آئیوان اس مذباغ تلاجک ناربوجی کرن یہ مکین آئیوان اچھ کروئی ملتوی کرن پے ایمی بروکر سپیکر ام برلان
D:\pro\koice\dataset\wavs\audio0000084.wav|سوال ہن وقف شروع کرنے کی کوشش اما پس مخلق ممبروں تل نیت امتحانی پرچے اپشا گستو معاملہ مخلق ممبروں تو ایڈیا جیری یمکن کاروئی
D:\pro\koice\dataset\wavs\audio0000085.wav|ملتے بھی کرنا آئے راج سباہی منصفے آو یوتوی منظر بچنے یمکن چیئرمین ایوانچ کاروئی ملتے بھی کر نیشنل کانفرنس نیاب صدر
D:\pro\koice\dataset\wavs\audio0000086.wav|وزیراعمر عبدالحمد منمد دیل مزرات پارٹی طرف شروع کا نام احتجاج ریاستی درج بحل کا نام بابا دسلاب پارٹی روز مرکزی سرکار
D:\pro\koice\dataset\wavs\audio0000087.wav|یہ مطالب پور کرنے خطر لگا تار وعدتیت اس پاوہ سری نگرے کے اس پریس کانفرنسی منز بولا منتیم ہوزی دلی منز کرنا آمد راتوک احتجاج اس مرکز سواد یاد
D:\pro\koice\dataset\wavs\audio0000088.wav|پاؤن یو سواد مرکز ان کاشر ان سیٹ کورم تو اس تیمہ ونزی آج سلسل اس پنجی نو لاحی عمل جلد تنظیمی ستریس پر ترتیب جنہ تیمہ ونزی جمع
D:\pro\koice\dataset\wavs\audio0000089.wav|مرس ریاستی درج باہر کا نام نخطر روج تینز پارٹی لگتار کوش کران خبرن ہن سلسل چونی جہری گوڑچ پیش کمرشل بریک
D:\pro\koice\dataset\wavs\audio0000090.wav|رشتہ وہی بھی جوڑ جو دل سے جوڑا جائے دل سے ہی تو ہوتے ہیں ارادے چٹان سے دل سے ہی تو بنتے ہیں گھر
D:\pro\koice\dataset\wavs\audio0000091.wav|خالی مکان سے اس لئے خائبر سیمنٹ کا سرہ سرہ دل سے بنا ہے خائبر سیمنٹ دل سے بناو
D:\pro\koice\dataset\wavs\audio0000092.wav|سوچل میڈیا پوسٹس منظرین اگر میڈیکل کالجو پتھ ہوئی رازویر ہندس میڈیکل کالجس منظرین پنچہ ایم بی بی اسیٹو خوراونس
D:\pro\koice\dataset\wavs\audio0000093.wav|منظوری دینا آمد وین میلی آتھ میڈیکل کالج اسماز ہتھ بجائے ڈوڑھ ہتھ میڈیکل تعلیم علم ان ایڈمیشن وزیرا نونز سرکار چی جمع کشمیر اسماز طبی تعلیم
D:\pro\koice\dataset\wavs\audio0000094.wav|مزید پوشر دن کے سوادس پہ ٹکائیم جمہ دیویجن کے مختلف علاقے میں پیواز بار رود یمکنی معامل زندگی متحصر سبز آتھوار پڑ آزدام چپ پرونس
D:\pro\koice\dataset\wavs\audio0000095.wav|ارازویر تو ڈوڑا زلہ نماز یوپ ینکن تریو نفر از جان تو ست نفر چھکلت گمت شری امرنات ماتا وشنف دیوی شیو خوڑی تا مچیل یات
D:\pro\koice\dataset\wavs\audio0000096.wav|روزہ ستری میں دوہتی موت دل ہوئی کی منہ ہندواننچی جو موسمی حالات پرچے لگاتا نظر گزرت ہونے گیوان گریز علاقہ سمجھ ترین جائن نبترہ
D:\pro\koice\dataset\wavs\audio0000097.wav|وسیط آمد یمگین فصلن موبائل تاورند سڑکن زبردست نقصان بہت مچھو آکھ ترات پی چرون گامس میں یلزن طلیل علاق سمتری نبی
D:\pro\koice\dataset\wavs\audio0000098.wav|ترات وسیط آئی بندپورک ڈپٹک کمیشنر انجو بونموز انتظامی انچو لوکن تعلق میں موجود سالانین رہش کرنے خطر مختلف اقدام کریمے تیموش سالانین بونموز
D:\pro\koice\dataset\wavs\audio0000099.wav|زیتی من پیزی موسمس متلت ہدایت نام و خیال تھا ون لیفٹرنٹ گورنمنو سینانچو اچھن روت سہلبی صورتحال سے انسینی زوزائی سب دن اس پر
D:\pro\koice\dataset\wavs\audio0000100.wav|دکھ تاپسوز بومن تمہاں چوبن مدز متاثر لوگ دوبارہ بساونے خطر چک اقدام کرنے یوان ونیخت تازہ اطلاع کشمیر تو جیوم ڈیویجن کے انسانی
D:\pro\koice\dataset\wavs\audio0000101.wav|نیشنل کانفرنس ایک صدر فاروق عبدالہ انچہ اچھن رود پہنے
D:\pro\koice\dataset\wavs\audio0000102.wav|تو یوپی ینسیت انسانی زوجائی گست اس پر اپسوز بومت تیموچہ سرکار اس مطالب کرم زی متاثر آیالنگ اس موقع المعاوض دنیون تیموچہ یہ مانگ
D:\pro\koice\dataset\wavs\audio0000103.wav|تکرمت زی سری نگر شہر اسپنس گیس ناکار گموڈرنی سسٹم فوری تو ٹھیک کرنے جو نیشنل کانفرنس کے صدر دفتر پر سپداز اٹھن چناؤ
D:\pro\koice\dataset\wavs\audio0000104.wav|پارٹی اہددار اک اجلاس یتندر پارٹی ہنزل صدرن مونزے پارٹی چاہمیش لوکن تاکتو آگرزانا تشہ لوکن ہز خدمت کنا آمد
D:\pro\koice\dataset\wavs\audio0000105.wav|تو وہاں جو پارٹی ہیں موجود سرکار چھوڑکن ہیں مشکلات دور کرنا خطر کام کران کوئلگاہ میں آؤ ایک دو ہوگ پی ایم وشوہ کرمہ زینب کری پروگرام منقد کرنا
D:\pro\koice\dataset\wavs\audio0000106.wav|ڈیپٹک کمیشن پی ایم وشوکر سکیم اہمیت
D:\pro\koice\dataset\wavs\audio0000107.wav|ان جو تمام ہنر مندن تا اہل کارگرن پیسی کی میں ہوں برپور فائدہ تلوں برہرینگن اترسو انتہا گاہ امہ بگوتی مندرس مند اک یگے کرنے
D:\pro\koice\dataset\wavs\audio0000108.wav|کفی تیدات سمسکش رو بٹو پوراً آہوتی مند شرکت کر آتھ موکس پڑھائے آمند ملسار باپت اہی کرنا
D:\pro\koice\dataset\wavs\audio0000109.wav|مکمی مسلمان اور پنڈیت بھائی نالمہ تکورکتمن مبارک
D:\pro\koice\dataset\wavs\audio0000110.wav|تو اس مندرس میں خصوصی پوزائی میں موجود آتموکس پیڈنیو تیمو کلس پوزائی میں ہیس تیمو ونج سرکار چی تمام مذہبی تا توری کی
D:\pro\koice\dataset\wavs\audio0000111.wav|جائیں روش کرنے کے سوادس پر کئیم انتہاں آگے ڈیپٹی کمیشنر تو دوئیم افسرت گئی امہ بغوطی مندرستان کشیر انڈویجنل کمیشنر انشلگاری
D:\pro\koice\dataset\wavs\audio0000112.wav|اگر از کلگاہ میں ماتا کٹیہ رانی مندر اس میں ایک خصوصی یگ پروگرام اس میں شرکت اور موقع پر کرتے ہیں مندر کے انتظامیں تو یاترین انتظامیں متعلق زان کری حاصل
D:\pro\koice\dataset\wavs\audio0000113.wav|پرچار وسیلن زانکری دماغون ڈیو جنرل کمیشٹرنز جمہو کشمیر سرکارچ تحریکی مندرن تا سکافتی ورث بحال کرنے باپت کام کران
D:\pro\koice\dataset\wavs\audio0000114.wav|شیر ملچ کے مندر دوبارہ آباد کرنے گا ڈیو جنرل کمیشٹرن مونز پی ایم پکیج ملاج منہندے باپت شیعہ و ساسو فلیٹ اور مزید علی پل چور ساس فلیٹ مکمل سبج میں
D:\pro\koice\dataset\wavs\audio0000115.wav|زن مزید اکساس تیتریہت فلیٹ اکتوبر یا تستہ مکمل کرنے گی تیموگون یہ دیجئے ناس ترس موسمی حالات نظر تلتھے وچو ڈیویجنل انتظامیہن لوکن بچاوکن
D:\pro\koice\dataset\wavs\audio0000116.wav|خطر تہنگمی صورتحال اس مقابلہ کرنے بابت اکھ وسی پلان ترتیب جت موت گورنمنٹ میڈیکل کالیج انات ناغاو ڈاکٹرن طبیعاملست مقابلہ
D:\pro\koice\dataset\wavs\audio0000117.wav|سکولاں ہندین تعلیمان خطر آئیکی دوگ بیسک لائپ سپورٹ تربیتی پروگرام منقض کرنے یا دوران حضر لوکن زندگی بچاؤ کرنے کیا
D:\pro\koice\dataset\wavs\audio0000118.wav|دنیا دی طور طریقہ نظرت جان کری دن آئے آتموکس پٹ ون میڈیکل کالج کے عدداروں جیت پروگرام ان مختلف ہسپتالن تعلیمی ادارن میں برونکن تی منقد کرنا
D:\pro\koice\dataset\wavs\audio0000119.wav|جنگلناڑ پلوائمیک ایک تعلیم یافت نوجوان محسن نظیرنچ زلز منز ہندوین تا خربجن ہند بارا پائیمانس پر کاش کرت روزگار کمامن چاکھ مثال قائم کرو
D:\pro\koice\dataset\wavs\audio0000120.wav|ایم نوجوانوں چھوڑ نوین ٹیکنالوجی تزاری تجربہ نہوں استعمال کریت، ہندوان تخربوز وابدان و کاربار شروع کرمت، یمکن تز جان آمدنی حاصل سب دان چھے۔
D:\pro\koice\dataset\wavs\audio0000121.wav|تمہوں نے باقی تعلیم یافتہ نوجوانوں کے پاس مشور نوین ٹیکنالوجی تر سرکار امداد حاصل کرد ذریع شعب اسمز روزگار کمیبید پنون پانی
